# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Sep 26 16:49:42 EAT 2024 [seed=1727358581515]
# ../beast_run/timetree_beast.xml
state	joint	prior	likelihood	location.clock.rate	location.meanRate	location.rates.Kenyan.Other	location.rates.Other.Kenyan	location.indicators.Kenyan.Other	location.indicators.Other.Kenyan	location.nonZeroRates	location.branchRates	location.treeLikelihood
45000	-228.57059435132243	-46.34026509514369	-182.23032925617875	0.28773450026706016	0.28773450026705916	0.8765615783445474	0.0023745803019349994	1.0	1.0	2.0	0.0	-182.23032925617875
46000	-228.03418589471892	-42.018649986371216	-186.0155359083477	0.2618971265645941	0.2618971265645937	0.7643482763451698	0.0029306650814455615	1.0	1.0	2.0	0.0	-186.0155359083477
47000	-230.92992089936166	-35.10150050501696	-195.8284203943447	0.2094646634336077	0.20946466343360762	2.4056884264701903	0.0040518496572722225	1.0	1.0	2.0	0.0	-195.8284203943447
48000	-231.01422473133155	-44.21616213461582	-186.79806259671574	0.26877513700135486	0.26877513700135425	1.78450831720791	0.059136854745362975	1.0	1.0	2.0	0.0	-186.79806259671574
49000	-231.14736073578047	-44.62407796535666	-186.5232827704238	0.26385409280681177	0.2638540928068107	3.0012375957677953	0.05244090205918452	1.0	1.0	2.0	0.0	-186.5232827704238
50000	-229.24280253577794	-48.25233347656647	-180.99046905921148	0.2964011525504804	0.2964011525504797	1.3773372586806354	0.0024594577910448815	1.0	1.0	2.0	0.0	-180.99046905921148
51000	-231.26333374804952	-46.79946585184905	-184.46386789620047	0.28937779707987177	0.28937779707987094	1.0608420189668117	0.009679647229515899	1.0	1.0	2.0	0.0	-184.46386789620047
52000	-230.95273981834222	-52.23244069848953	-178.72029911985268	0.3282418210522962	0.328241821052296	0.17468978683179745	0.004030883050033431	1.0	1.0	2.0	0.0	-178.72029911985268
53000	-227.72582621715685	-39.96892891766899	-187.75689729948786	0.25333963170128365	0.25333963170128315	0.11292884303452455	2.200858306112045E-5	1.0	1.0	2.0	0.0	-187.75689729948786
54000	-232.32300757323054	-35.04297946907441	-197.28002810415612	0.21178671628264428	0.2117867162826435	1.9515787462061507	0.019999275542222833	1.0	1.0	2.0	0.0	-197.28002810415612
55000	-228.42851283525624	-41.892436186581634	-186.5360766486746	0.2579438482009465	0.25794384820094673	1.2821715177056898	0.003450311683549218	1.0	1.0	2.0	0.0	-186.5360766486746
56000	-232.512734120756	-51.80582209151412	-180.70691202924186	0.31783387250742795	0.3178338725074274	1.3992941851074516	0.04584623668181964	1.0	1.0	2.0	0.0	-180.70691202924186
57000	-230.88926124915568	-47.920662780963674	-182.968598468192	0.29121847423733427	0.29121847423733316	1.8858153885291058	0.006163181368377926	1.0	1.0	2.0	0.0	-182.968598468192
58000	-231.88190834123162	-40.710548894791216	-191.1713594464404	0.23490141867276537	0.2349014186727655	3.8166235020602106	0.04649263519013639	1.0	1.0	2.0	0.0	-191.1713594464404
59000	-228.42684015282236	-40.89449850839103	-187.53234164443134	0.2552609826976342	0.2552609826976344	0.7240508856227108	0.0011239657608622165	1.0	1.0	2.0	0.0	-187.53234164443134
60000	-231.80921380909373	-42.152447999416125	-189.6567658096776	0.24464624560538845	0.24464624560538806	3.673758799835262	0.04084737273635906	1.0	1.0	2.0	0.0	-189.6567658096776
61000	-229.22062205521692	-37.82322429200528	-191.39739776321164	0.23690952622764969	0.23690952622764966	0.6358903692680125	0.012098910368620527	1.0	1.0	2.0	0.0	-191.39739776321164
62000	-230.78359516966785	-43.35197218068839	-187.43162298897946	0.2628317103498096	0.26283171034980946	1.90556351253605	0.04267650939303973	1.0	1.0	2.0	0.0	-187.43162298897946
63000	-229.82778576470002	-38.607756540713225	-191.2200292239868	0.24031248305022204	0.24031248305022218	0.8619120516139117	0.015194579914459178	1.0	1.0	2.0	0.0	-191.2200292239868
64000	-231.95355616403378	-38.99420597087335	-192.95935019316042	0.24009652353103325	0.24009652353103264	1.2280017523579598	0.07079921497242297	1.0	1.0	2.0	0.0	-192.95935019316042
65000	-230.10749989334388	-47.426935890826336	-182.68056400251754	0.2872494656784625	0.2872494656784615	2.023568794065389	0.021030439752573998	1.0	1.0	2.0	0.0	-182.68056400251754
66000	-229.81346229398392	-50.29394958097831	-179.5195127130056	0.3127322026101922	0.3127322026101913	0.7610529708825292	0.002286205367479123	1.0	1.0	2.0	0.0	-179.5195127130056
67000	-233.3431646064572	-48.00740346557637	-185.33576114088083	0.2698471045989278	0.269847104598927	5.378877727559084	0.08130327321392765	1.0	1.0	2.0	0.0	-185.33576114088083
68000	-233.23648542102512	-48.59695560079867	-184.63952982022644	0.27376029512384853	0.27376029512384786	5.394144141332217	0.01789750114909083	1.0	1.0	2.0	0.0	-184.63952982022644
69000	-234.63443227541222	-49.28228347144439	-185.35214880396785	0.2962017780512351	0.2962017780512347	2.2886851931871894	0.15352115325195448	1.0	1.0	2.0	0.0	-185.35214880396785
70000	-231.8377876586046	-56.72800534113897	-175.10978231746563	0.35509470914714186	0.35509470914714114	0.3077268444985982	7.072422862156317E-4	1.0	1.0	2.0	0.0	-175.10978231746563
71000	-229.23390953401005	-37.35973498806222	-191.87417454594782	0.22904479963065236	0.22904479963065238	1.4628152502157175	0.005728927017933927	1.0	1.0	2.0	0.0	-191.87417454594782
72000	-230.65439785706468	-47.38496352572885	-183.26943433133582	0.2830504810817121	0.2830504810817114	2.6655952507715663	0.0209344333965359	1.0	1.0	2.0	0.0	-183.26943433133582
73000	-232.15888952636993	-48.91078702514231	-183.24810250122763	0.30735326101282384	0.3073532610128239	0.24146649535744968	0.014039313136327594	1.0	1.0	2.0	0.0	-183.24810250122763
74000	-234.77473612128793	-45.608744645029475	-189.16599147625845	0.2593104372666492	0.2593104372666489	4.569393219202268	0.2097103825031043	1.0	1.0	2.0	0.0	-189.16599147625845
75000	-228.35796010185337	-39.29366802057492	-189.06429208127844	0.24274966437937243	0.24274966437937204	1.1639854082491001	0.001309008871412735	1.0	1.0	2.0	0.0	-189.06429208127844
76000	-231.20130132419882	-50.707299765945635	-180.4940015582532	0.3047132956011553	0.30471329560115507	2.476209996509612	0.00547270413820229	1.0	1.0	2.0	0.0	-180.4940015582532
77000	-231.1414150518389	-35.35988500647961	-195.7815300453593	0.21291096326316006	0.21291096326315914	2.08457840554565	0.020119432657204256	1.0	1.0	2.0	0.0	-195.7815300453593
78000	-229.9580856139933	-45.51706142969974	-184.44102418429355	0.28321345385273883	0.283213453852738	0.7799762994155689	0.012105330966745998	1.0	1.0	2.0	0.0	-184.44102418429355
79000	-230.15785627992778	-46.7689854881721	-183.3888707917557	0.28684676682949767	0.2868467668294969	1.427120178578914	0.025112893452568247	1.0	1.0	2.0	0.0	-183.3888707917557
80000	-232.85020520843332	-51.07658232782643	-181.7736228806069	0.2951854201441504	0.2951854201441502	4.35849128374247	0.043487990106661885	1.0	1.0	2.0	0.0	-181.7736228806069
81000	-229.24026215128822	-37.8874674605069	-191.3527946907813	0.23069279275961882	0.23069279275961888	1.720875483445252	0.006292048108608253	1.0	1.0	2.0	0.0	-191.3527946907813
82000	-228.08193471077033	-43.654423455576115	-184.42751125519422	0.27317538870103614	0.2731753887010353	0.5618657418791738	0.0029532361305006577	1.0	1.0	2.0	0.0	-184.42751125519422
83000	-228.46297733230966	-41.7938046216344	-186.66917271067527	0.2574345908079899	0.2574345908079891	1.263203920002448	0.0068259607765210305	1.0	1.0	2.0	0.0	-186.66917271067527
84000	-233.2632767326983	-53.37128854020347	-179.89198819249484	0.3184984061229907	0.3184984061229906	2.857517649007766	0.044975322508169956	1.0	1.0	2.0	0.0	-179.89198819249484
85000	-231.19131682512992	-48.81982377932936	-182.37149304580055	0.29217523899051523	0.29217523899051495	2.6315879329943845	0.0037578079752372553	1.0	1.0	2.0	0.0	-182.37149304580055
86000	-230.3169690175162	-35.455510348998125	-194.86145866851805	0.2241600834146052	0.2241600834146043	0.3578888344995437	0.004234201464798727	1.0	1.0	2.0	0.0	-194.86145866851805
87000	-229.79197704501348	-37.48316527521037	-192.3088117698031	0.2305639811833011	0.2305639811833007	1.3284942638007888	0.015404451072718513	1.0	1.0	2.0	0.0	-192.3088117698031
88000	-229.3156400975171	-41.32590906349316	-187.98973103402395	0.251329289102184	0.25132928910218394	1.788690775859861	0.009129899938707858	1.0	1.0	2.0	0.0	-187.98973103402395
89000	-230.7755236194157	-39.43338741052896	-191.34213620888676	0.2393618752684654	0.23936187526846545	1.828309575327438	0.029571522865460036	1.0	1.0	2.0	0.0	-191.34213620888676
90000	-230.67223768527327	-50.06513617944168	-180.6071015058316	0.30221085404014997	0.30221085404014997	2.228772268334026	0.018063120525256646	1.0	1.0	2.0	0.0	-180.6071015058316
91000	-232.78941067916773	-47.060459105315125	-185.7289515738526	0.27128972407539304	0.27128972407539315	4.2337444155860275	0.044391628640704256	1.0	1.0	2.0	0.0	-185.7289515738526
92000	-228.9299562855424	-42.06821352663103	-186.86174275891136	0.2560637228374886	0.2560637228374885	1.7582119421993772	0.00977060429991852	1.0	1.0	2.0	0.0	-186.86174275891136
93000	-230.8991796280054	-47.15640019942233	-183.74277942858308	0.2822560593092527	0.2822560593092525	2.567452775315973	0.01991602223605278	1.0	1.0	2.0	0.0	-183.74277942858308
94000	-231.89880053734498	-52.50476718885581	-179.3940333484892	0.3163775803339398	0.31637758033393937	2.3467403439019994	0.03427903239756439	1.0	1.0	2.0	0.0	-179.3940333484892
95000	-228.76730230544678	-38.38528356613782	-190.38201873930896	0.24132815783849923	0.24132815783849917	0.4831389707831587	0.005740496185463169	1.0	1.0	2.0	0.0	-190.38201873930896
96000	-228.29879191210156	-35.13649865010203	-193.16229326199954	0.22201382072505244	0.22201382072505246	0.39260942393548515	0.001117921432682154	1.0	1.0	2.0	0.0	-193.16229326199954
97000	-233.4674162511554	-35.80839164078194	-197.65902461037348	0.2052846962634948	0.20528469626349546	3.764779159796549	0.035406721807158995	1.0	1.0	2.0	0.0	-197.65902461037348
98000	-238.1220038624117	-45.00408433040796	-193.11791953200375	0.22358767789270634	0.22358767789270634	9.983140774776228	0.02106056609399392	1.0	1.0	2.0	0.0	-193.11791953200375
99000	-228.2601918733232	-43.58580943255236	-184.67438244077084	0.2693621884290682	0.2693621884290679	1.1148087310965336	0.002807184373578051	1.0	1.0	2.0	0.0	-184.67438244077084
100000	-228.93503319715302	-46.103113391624056	-182.83191980552897	0.2854689333749882	0.2854689333749882	1.0067548551245251	0.004009964366332885	1.0	1.0	2.0	0.0	-182.83191980552897
101000	-232.4192332357548	-29.150569633828184	-203.26866360192662	0.1855507818108878	0.18555078181088774	0.3656563886176442	0.006768110472988727	1.0	1.0	2.0	0.0	-203.26866360192662
102000	-229.18983124902	-38.31802135258974	-190.87180989643025	0.233197919524484	0.2331979195244833	1.7422309137968452	0.006464467929085233	1.0	1.0	2.0	0.0	-190.87180989643025
103000	-230.19473959447456	-35.21274753417814	-194.98199206029642	0.2199033569671104	0.21990335696710947	0.7994001867002084	0.015389457719578295	1.0	1.0	2.0	0.0	-194.98199206029642
104000	-230.69713238694715	-41.5026434280144	-189.19448895893274	0.2551842876827031	0.2551842876827035	1.3256722542929078	0.02015485993593416	1.0	1.0	2.0	0.0	-189.19448895893274
105000	-228.85122803697777	-41.83499499599144	-187.01623304098632	0.2602267559038602	0.26022675590385963	0.8477411939398263	0.008211882081653514	1.0	1.0	2.0	0.0	-187.01623304098632
106000	-231.11636292931396	-46.49646155131105	-184.6199013780029	0.28019708320832365	0.2801970832083228	2.250269621241521	0.012563244965366406	1.0	1.0	2.0	0.0	-184.6199013780029
107000	-229.56645956222434	-47.80179828315526	-181.7646612790691	0.2934846261488944	0.29348462614889437	1.3937530445227873	0.01036314080757325	1.0	1.0	2.0	0.0	-181.7646612790691
108000	-234.26983169332692	-40.289581883060734	-193.9802498102662	0.22559964672094562	0.22559964672094482	4.854548400620794	0.1065031449204978	1.0	1.0	2.0	0.0	-193.9802498102662
109000	-229.9248083521045	-43.48532002094387	-186.43948833116062	0.27330121586632766	0.2733012158663269	0.36101024661646325	0.014201786603007563	1.0	1.0	2.0	0.0	-186.43948833116062
110000	-231.35437640814285	-41.09624592210256	-190.2581304860403	0.25349276306303475	0.2534927630630353	1.1570314810757618	0.058261733378836104	1.0	1.0	2.0	0.0	-190.2581304860403
111000	-229.54246298257567	-47.22849406522218	-182.3139689173535	0.28741298165312457	0.2874129816531242	1.815139763878434	0.004387426573686443	1.0	1.0	2.0	0.0	-182.3139689173535
112000	-231.9101948263086	-44.95586522057641	-186.9543296057322	0.26512261748446014	0.2651226174844596	3.1305658806518815	0.04811724422157389	1.0	1.0	2.0	0.0	-186.9543296057322
113000	-231.1650627010346	-40.29672004139928	-190.86834265963532	0.2398253421324178	0.23982534213241696	2.6405583012917493	0.005014505730333585	1.0	1.0	2.0	0.0	-190.86834265963532
114000	-233.2774189357355	-45.956456814635324	-187.3209621211002	0.2707742431786346	0.2707742431786336	3.124741652081203	0.1333972843184948	1.0	1.0	2.0	0.0	-187.3209621211002
115000	-235.57367999043186	-38.83888067148928	-196.73479931894258	0.2154142040366983	0.21541420403669795	5.07179075202439	0.10273656467784766	1.0	1.0	2.0	0.0	-196.73479931894258
116000	-229.76189556806955	-47.909909157473265	-181.85198641059628	0.2988243080119643	0.2988243080119643	0.63236432876633	0.010518528170257571	1.0	1.0	2.0	0.0	-181.85198641059628
117000	-228.4541317514459	-37.6766936446641	-190.77743810678183	0.23646054260304014	0.23646054260303956	0.5730544727063428	0.0016928333778701528	1.0	1.0	2.0	0.0	-190.77743810678183
118000	-227.39252549768347	-41.75258967245614	-185.63993582522733	0.2618665183115427	0.26186651831154206	0.5061960544006728	1.2610392336168E-5	1.0	1.0	2.0	0.0	-185.63993582522733
119000	-230.78392485985796	-43.740607133132116	-187.04331772672586	0.26271415162010714	0.2627141516201063	2.312909849165386	0.04312986308600527	1.0	1.0	2.0	0.0	-187.04331772672586
