# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Sep 28 07:45:54 EAT 2024 [seed=876754398712]
# -seed 876754398712 ../../beast_run/kenya_continous.xml
state	joint	prior	likelihood	coordinates.precision.col11	coordinates.precision.col12	coordinates.precision.col21	coordinates.precision.col22	correlation	coordinates.varCovar.coordinates.precision.col11	coordinates.varCovar.coordinates.precision.col12	coordinates.varCovar.coordinates.precision.col21	coordinates.varCovar.coordinates.precision.col22	coordinates.diffusionRate	coordinates.traitLikelihood
650000	-687.9627101725468	-347.6015153738555	-340.3611947986914	0.20260535443668817	0.1543120765359107	0.1543120765359107	0.15026882577840817	-0.8843822342624259	22.654553530604378	-23.264114697060634	-23.264114697060634	30.544817422354175	605.107435397819	-340.3611947986914
700000	-699.7436280029763	-388.0365400704741	-311.7070879325022	0.2293891064693146	0.1475226002622142	0.1475226002622142	0.15309536132458687	-0.7872109887698248	11.4631028147706	-11.045839140238426	-11.045839140238424	17.17564065491916	578.0515538681552	-311.7070879325022
750000	-623.6049466965025	-314.41908480234844	-309.185861894154	0.20945398709015772	0.13339479896478457	0.13339479896478457	0.14900083519358032	-0.7550926267793736	11.1073246587929	-9.943966676235853	-9.943966676235853	15.61382815516751	570.2513762740841	-309.185861894154
800000	-636.0766203554771	-308.0195527059585	-328.05706764951856	0.2379430613799517	0.16264964646889055	0.16264964646889055	0.1745682314729206	-0.7980571540427499	11.574306807572201	-10.784075054722187	-10.784075054722189	15.77621524779986	577.5706183214041	-328.05706764951856
850000	-629.4207181942018	-327.9535245581801	-301.4671936360216	0.21342611756597943	0.13262928014811426	0.13262928014811426	0.15323258697602138	-0.7333985779399189	10.138916309504792	-8.775660570306917	-8.775660570306917	14.121732113043395	563.2538211691892	-301.4671936360216
900000	-623.5986648556789	-331.26034822114013	-292.3383166345388	0.28443022543853863	0.1791817972697065	0.1791817972697065	0.22596651667909526	-0.7067795420266035	7.025100767753983	-5.570604884592647	-5.570604884592647	8.842686184070255	555.0970239733801	-292.3383166345388
950000	-627.6953145144589	-327.62804302157497	-300.06727149288395	0.26534438608992106	0.16263531261172365	0.16263531261172365	0.18336002163816656	-0.7373226430327432	8.258230081854176	-7.324823693750757	-7.324823693750757	11.950669353557704	567.9074714153572	-300.06727149288395
1000000	-612.4048726649143	-295.50625991473896	-316.8986127501753	0.29698668786275717	0.19563948218782676	0.19563948218782676	0.20806929287505738	-0.78701682628385	8.846858499135797	-8.318357754016201	-8.3183577540162	12.627520223402396	568.2105977755139	-316.8986127501753
1050000	-630.9340826887903	-316.4298619357012	-314.5042207530892	0.2269059303578748	0.14966674476924677	0.14966674476924677	0.15524964064578015	-0.7974199336113781	12.10341404977487	-11.668166018865492	-11.66816601886549	17.689808582145584	579.8888818585799	-314.5042207530892
1100000	-622.8934418339804	-307.4432185443327	-315.4502232896478	0.2655766533822787	0.17555082585586407	0.17555082585586407	0.18040915468382698	-0.802007896121179	10.5537194691524	-10.269513051639525	-10.269513051639526	15.535916136101468	576.2218560399376	-315.4502232896478
1150000	-621.230536582455	-280.7496721126726	-340.48086446978243	0.21618677535841804	0.14533536075548797	0.14533536075548797	0.14882652033956295	-0.8102453872627545	13.466076734456367	-13.150190676352453	-13.150190676352452	19.56094719750865	578.3735181958853	-340.48086446978243
1200000	-640.665241719875	-303.59793442081093	-337.06730729906405	0.22734468471918606	0.16038480366929683	0.16038480366929683	0.16623071963061126	-0.8250213204929588	13.774064677200652	-13.289665495583947	-13.289665495583945	18.83803666553582	597.7896109232543	-337.06730729906405
1250000	-624.7932905187367	-304.7134976833025	-320.07979283543426	0.26604813918067777	0.17932934111296203	0.17932934111296203	0.19221229706779439	-0.7930136367197634	10.127784401912903	-9.448973512285678	-9.448973512285676	14.01824043131675	581.724408894513	-320.07979283543426
1300000	-629.9940000828443	-312.83948377290665	-317.15451630993766	0.22745552702439525	0.156481181556752	0.156481181556752	0.18556423637010683	-0.7616697892661907	10.471283115402391	-8.830143061863152	-8.830143061863152	12.83518454970554	571.4229713786901	-317.15451630993766
1350000	-644.1043701579815	-329.6562423052228	-314.4481278527587	0.24182483662935694	0.17516675028456594	0.17516675028456594	0.186002037124022	-0.8259283453433944	13.010299936646703	-12.252403228306203	-12.252403228306202	16.91494192926875	585.1044473848167	-314.4481278527587
1400000	-675.8841288910016	-349.36321941514353	-326.52090947585805	0.18421008138399653	0.1220252288557327	0.1220252288557327	0.1308716815057798	-0.7859050734355	14.197826302272297	-13.238104560551585	-13.238104560551587	19.98432898947601	579.4526249463984	-326.52090947585805
1450000	-727.3013274561724	-399.55308689949027	-327.74824055668216	0.17137073909446912	0.11884367771541168	0.11884367771541168	0.13900189572165236	-0.7700118104340626	14.334469716457754	-12.255668099774482	-12.25566809977448	17.67248322106156	566.4154782463032	-327.74824055668216
1500000	-680.3901618187515	-351.0915493712844	-329.29861244746706	0.21394041494728971	0.15038870167522317	0.15038870167522317	0.15828099728441564	-0.8172490118550073	14.074500503822309	-13.372709888185147	-13.372709888185149	19.023790155636433	581.725638697254	-329.29861244746706
1550000	-688.8045302472073	-353.4697536479859	-335.33477659922136	0.2201954500568394	0.15687731275463568	0.15687731275463568	0.17555838302623508	-0.7978939736868281	12.498224434082974	-11.168295296558199	-11.1682952965582	15.675993972688996	565.4091365860719	-335.33477659922136
1600000	-609.2047923453144	-296.3455398201192	-312.85925252519525	0.2521445546373802	0.15494854799936003	0.15494854799936003	0.15763593395729114	-0.7772041341165626	10.016268634430585	-9.845510743109134	-9.845510743109134	16.021395189253713	582.8245127169604	-312.85925252519525
1650000	-605.0030583961517	-307.86210341989374	-297.14095497625794	0.27598152298341366	0.1841623860038072	0.1841623860038072	0.19607236709546222	-0.7916855781108875	9.708203188679809	-9.118499916750485	-9.118499916750485	13.664774598961296	564.582748919925	-297.14095497625794
1700000	-588.0108570414257	-289.30246731652437	-298.7083897249013	0.2972221254233805	0.1979461634609227	0.1979461634609227	0.1969844264060506	-0.8180702040287481	10.171953888008762	-10.221616417951015	-10.221616417951015	15.348064867171233	569.5724237844914	-298.7083897249013
1750000	-590.5267188898526	-283.3617093310428	-307.16500955880986	0.34656280098119097	0.2346801393408143	0.2346801393408143	0.23927319462871444	-0.8149638425907804	8.591984333878179	-8.427053786018396	-8.427053786018394	12.444612366027204	567.8742883250555	-307.16500955880986
1800000	-580.0488713657302	-274.3686132357056	-305.6802581300246	0.3029603969713693	0.20714209966287542	0.20714209966287542	0.20120151539580372	-0.8389958638440548	11.147984425049257	-11.477134733657664	-11.477134733657662	16.786144876690148	574.195459272532	-305.6802581300246
1850000	-578.2949823478593	-268.5896887988626	-309.7052935489967	0.3051605752354455	0.21029698142751763	0.21029698142751763	0.22448786157079537	-0.8034750494138545	9.245783952885406	-8.661316663705675	-8.661316663705673	12.568379999804034	574.529958381763	-309.7052935489967
1900000	-599.9781038074582	-280.22418150917395	-319.75392229828424	0.24215051503851345	0.17134169612857142	0.17134169612857142	0.1876182674666641	-0.8038644123324254	11.672242753541694	-10.659632977218537	-10.65963297721854	15.064842206406569	570.2833258229816	-319.75392229828424
1950000	-628.1926442408278	-321.71433588479147	-306.4783083560363	0.21760470421672365	0.14721270159794492	0.14721270159794492	0.15991694412996774	-0.7891578879168976	12.182199144148838	-11.214411688337485	-11.214411688337483	16.5767539887286	571.7544425190932	-306.4783083560363
2000000	-632.1087676336032	-309.11192642914006	-322.9968412044631	0.20025297037997558	0.13041556444497418	0.13041556444497418	0.1366126557361858	-0.7884868866425131	13.200730815432411	-12.601912693252563	-12.601912693252562	19.350224492243836	579.836786707845	-322.9968412044631
2050000	-645.5960441958271	-305.5279461175191	-340.06809807830797	0.22911898772823444	0.15891018979145255	0.15891018979145255	0.15558767855576222	-0.8416540255043818	14.966623867678575	-15.286229998590098	-15.286229998590098	22.039905358204532	588.3220234840306	-340.06809807830797
2100000	-618.5236029744872	-284.56596276201526	-333.9576402124719	0.28472548169668577	0.20071809588456843	0.20071809588456843	0.1826160492475474	-0.880245652408698	15.597959249093112	-17.14412666938752	-17.14412666938752	24.319529849553778	585.9464139406099	-333.9576402124719
2150000	-586.0650600311792	-255.09786654443198	-330.96719348674725	0.26839392553834573	0.1944245151278817	0.1944245151278817	0.2043417542910656	-0.8302064909957535	11.989639984829342	-11.407751434334381	-11.407751434334383	15.74786588518858	573.3144573462056	-330.96719348674725
2200000	-605.8662338845024	-272.78795032844437	-333.078283556058	0.236463300417752	0.1669627562930408	0.1669627562930408	0.17543623029404837	-0.8197437020924193	12.892453709815186	-12.2697552447592	-12.269755244759201	17.377209653879643	573.5631352046264	-333.078283556058
2250000	-614.0771491520007	-280.322391328368	-333.75475782363276	0.1942318461845237	0.13171150156806952	0.13171150156806952	0.14249436608671096	-0.7917072737722955	13.79553034334208	-12.75159198465256	-12.75159198465256	18.80447207331267	564.4498861416324	-333.75475782363276
2300000	-626.6990737573553	-314.7536093697514	-311.94546438760386	0.28339131850714677	0.19671449520229295	0.19671449520229295	0.20419050767296099	-0.8177589714627358	10.65199621879324	-10.261995442181467	-10.261995442181465	14.783661040756076	564.8894958626925	-311.94546438760386
2350000	-627.1323574990349	-315.3278405457338	-311.8045169533012	0.22794186693278212	0.1606341690019213	0.1606341690019213	0.17939366156453904	-0.7943690835678814	11.889831777966943	-10.646492359704927	-10.646492359704926	15.10750396279459	571.1425803698834	-311.8045169533012
2400000	-673.4129326874553	-367.3944154925727	-306.0185171948826	0.24363188549570575	0.16176965033180588	0.16176965033180588	0.16583592034420602	-0.8048050279791518	11.651100674968731	-11.365417566099756	-11.365417566099758	17.11679604545998	573.940915358212	-306.0185171948826
2450000	-616.8910324336207	-326.3857801246968	-290.50525230892384	0.24228311281768364	0.1559061409532792	0.1559061409532792	0.16305703814302377	-0.7843896866449911	10.727971720229617	-10.257494495207537	-10.257494495207537	15.940473420824958	562.9204900083078	-290.50525230892384
2500000	-602.2149256638581	-288.414908745447	-313.8000169184111	0.2706381230910546	0.17563740297638775	0.17563740297638775	0.18465520995966592	-0.7856728353050842	9.654547339655393	-9.183058642212462	-9.18305864221246	14.150093960895019	590.7386911643637	-313.8000169184111
2550000	-612.6130218549458	-298.26627325059087	-314.3467486043549	0.259083322304436	0.16773293627124228	0.16773293627124228	0.162599779858655	-0.8172193556649561	11.62045102269793	-11.987300182863894	-11.987300182863892	18.51580033044126	586.4412853620182	-314.3467486043549
2600000	-625.8115523122032	-312.33536116748525	-313.4761911447179	0.17358756023884295	0.11779908681417639	0.11779908681417639	0.140241760662918	-0.7549947756496002	13.397699346327563	-11.25368607002653	-11.25368607002653	16.583319628541183	577.2020411342236	-313.4761911447179
2650000	-639.3279499663163	-318.6589801548623	-320.66896981145396	0.228266418573816	0.14731831470575796	0.14731831470575796	0.1498512102542031	-0.7965363544626706	11.984920110897956	-11.782342162105497	-11.782342162105497	18.256474445332312	576.1969930714557	-320.66896981145396
2700000	-601.1189327592625	-275.639687627142	-325.4792451321205	0.2948273883525033	0.228672856090593	0.228672856090593	0.23562094649997473	-0.8676084142922594	13.717847444241979	-13.313329740359872	-13.313329740359874	17.16484546845821	572.067099591656	-325.4792451321205
2750000	-670.1213043917305	-337.7470564341426	-332.3742479575879	0.3517957410456624	0.2603552693541431	0.2603552693541431	0.2533184631663024	-0.872142922503265	11.875328957982644	-12.205207748694068	-12.205207748694068	16.49185021382308	565.3890442969441	-332.3742479575879
2800000	-562.1967829175419	-254.5651548627627	-307.6316280547792	0.3544897169716393	0.23121977440579924	0.23121977440579924	0.24840946521706614	-0.7791823068954421	7.180290888293779	-6.683421816912488	-6.683421816912487	10.246547097314203	551.1087127742301	-307.6316280547792
2850000	-548.1350733743777	-244.40506818576947	-303.7300051886083	0.3648840208822978	0.25178935206102	0.25178935206102	0.26078489818936185	-0.8162415881375529	8.211534281051751	-7.928284614669518	-7.928284614669517	11.489383269070053	566.9794329537824	-303.7300051886083
2900000	-570.6591965516752	-247.31830259922026	-323.34089395245496	0.2747650544703409	0.1774075784807859	0.1774075784807859	0.19988289344378712	-0.7570134675601454	8.524741318435318	-7.56619882983648	-7.56619882983648	11.718366551283534	558.3187869052518	-323.34089395245496
2950000	-580.8695015303865	-280.62010108920146	-300.24940044118506	0.22795002998622318	0.15755931324724312	0.15755931324724312	0.18330732805236832	-0.7707869246467699	10.808231835345204	-9.29006823397412	-9.29006823397412	13.44047069553671	575.5614859444034	-300.24940044118506
3000000	-560.5171719568685	-248.36831331872943	-312.1488586381391	0.25897890131505125	0.17535247964008532	0.17535247964008532	0.17999149062913367	-0.8121826966062046	11.344831132048807	-11.052435107622784	-11.052435107622783	16.323393355503597	582.5229502986512	-312.1488586381391
3050000	-575.0438346807127	-263.2487952670989	-311.7950394136138	0.30740616701293616	0.20808539241572926	0.20808539241572926	0.22162035887358475	-0.797224210348006	8.926250338135755	-8.381099614911795	-8.381099614911795	12.381463581193115	557.7253667342158	-311.7950394136138
3100000	-556.6404661022021	-240.582420093793	-316.0580460084091	0.3062593233210252	0.18830254299161203	0.18830254299161203	0.19080124642951857	-0.7789703404639823	8.304077987980026	-8.19532907461863	-8.195329074618632	13.329060228876617	562.2961274344779	-316.0580460084091
3150000	-566.553612767177	-248.04988284819808	-318.50372991897893	0.33770044235736385	0.22246048704730922	0.22246048704730922	0.22937669478194794	-0.7993048050000965	8.200241749616197	-7.952986571976996	-7.9529865719769965	12.072827489798899	566.9153926823146	-318.50372991897893
