# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Feb 19 12:45:00 EAT 2025 [seed=1739958299565]
# ../beast_run/FY.4_may.xml
state	location.rates.Kenya.Others	location.rates.Others.Kenya	location.indicators.Kenya.Others	location.indicators.Others.Kenya	location.nonZeroRates
108000	1.291672437267385	0.007932472523039118	1.0	1.0	2.0
109000	0.2881468585306033	0.002006765228259181	1.0	1.0	2.0
110000	0.16629152988597878	1.5778584504356474E-4	1.0	1.0	2.0
111000	0.24436067610439158	0.004071014669754609	1.0	1.0	2.0
112000	1.8898413316756895	9.072205964965174E-4	1.0	1.0	2.0
113000	0.6839007572041027	0.01424572653443142	1.0	1.0	2.0
114000	0.7116059976226593	0.020099010682063895	1.0	1.0	2.0
115000	0.9089216608930614	0.02137720329372936	1.0	1.0	2.0
116000	4.999012555303017	0.009264820292797831	1.0	1.0	2.0
117000	1.3069185474684162	9.966181881329533E-4	1.0	1.0	2.0
118000	1.1359872448479884	0.005146588642756058	1.0	1.0	2.0
119000	1.314549143201938	0.04584194005185414	1.0	1.0	2.0
120000	1.8012460969470379	0.004442372940035422	1.0	1.0	2.0
121000	0.5378972814945129	0.00462805799418051	1.0	1.0	2.0
122000	3.0665702511180353	0.0285275400481787	1.0	1.0	2.0
123000	2.358712559022125	0.0046251928666931905	1.0	1.0	2.0
124000	1.6264185942976623	0.0667992445870324	1.0	1.0	2.0
125000	1.6714243330686536	0.007609294107182585	1.0	1.0	2.0
126000	1.10448416666247	0.04067805036960499	1.0	1.0	2.0
127000	2.3242187079157466	0.010736000219896243	1.0	1.0	2.0
128000	1.5053959920412885	0.021044285338451	1.0	1.0	2.0
129000	2.100458693188655	0.011402444121447258	1.0	1.0	2.0
130000	0.7757354198081011	0.005142322703888358	1.0	1.0	2.0
131000	1.4378430507635973	0.055350475787114946	1.0	1.0	2.0
132000	0.5766078288253802	0.016606305651852008	1.0	1.0	2.0
133000	3.0649819550043698	0.014323072385367631	1.0	1.0	2.0
134000	0.8550503706285797	0.011268581100549927	1.0	1.0	2.0
135000	0.5953134768635562	9.685769203572916E-4	1.0	1.0	2.0
136000	2.00986534973119	0.02277023192250216	1.0	1.0	2.0
137000	1.7527125508098311	0.038298105173738425	1.0	1.0	2.0
138000	2.7282324426991784	0.02131818631098597	1.0	1.0	2.0
139000	0.34199635471038187	4.000101976220443E-4	1.0	1.0	2.0
140000	3.023077631742045	0.07222063802736504	1.0	1.0	2.0
141000	0.9311665699703356	0.007183898299849087	1.0	1.0	2.0
142000	1.4899915485804767	0.015564459953489658	1.0	1.0	2.0
143000	2.0221716768778935	0.006383555554783386	1.0	1.0	2.0
144000	0.5819174057855613	0.003121472146804095	1.0	1.0	2.0
